DEMANDA (milhares),Linha 1-Azul ,Linha 2-Verde,Linha 3-Vermelha,Linha 15-Prata,Rede
Total,9.406,4.984,12.544,709.0,27.642
Média dos dias úteis ,354.0,191.0,469.0,27.0,1.04
Média dos Sábados ,224.0,100.0,298.0,17.0,639.0
Média dos Domingos ,104.0,55.0,152.0,9.0,319.0
Máxima Diária ,384.0,208.0,510.0,29.0,1.131
¹ Corresponde às entradas pelas linhas de bloqueios,,,,,
² Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03,,,,,
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 17/08/2020,,,,,
,,,,,
